class_id,class_name,support,predicted,precision,recall,f1
0,Pick up kettle,0,16,0.0,0.0,0.0
1,Position kettle to pour,0,8,0.0,0.0,0.0
2,Move kettle,0,8,0.0,0.0,0.0
3,Hold coffee carafe,0,3,0.0,0.0,0.0
4,Grasp coffee scoop,0,28,0.0,0.0,0.0
5,Transfer coffee to dripper,0,13,0.0,0.0,0.0
6,Hold gooseneck kettle,0,58,0.0,0.0,0.0
7,Grasp gooseneck kettle,0,25,0.0,0.0,0.0
8,Lift gooseneck kettle,0,1,0.0,0.0,0.0
9,Move kettle away,0,18,0.0,0.0,0.0
10,Place kettle on table,0,32,0.0,0.0,0.0
11,Pick up white bottle,0,21,0.0,0.0,0.0
12,Pour liquid from white bottle,0,93,0.0,0.0,0.0
13,Close bottle cap,64,16,0.625,0.15625,0.25
14,Place item on table,23,0,0.0,0.0,0.0
15,Wait/Prepare for pouring,95,0,0.0,0.0,0.0
16,Pour coffee,159,3,0.0,0.0,0.0
17,Pour milk into coffee,2,0,0.0,0.0,0.0
