class_id,class_name,support,predicted,precision,recall,f1
0,Pick up and position kettle,0,20,0.0,0.0,0.0
1,Position kettle to pour,0,2,0.0,0.0,0.0
2,Move kettle,0,11,0.0,0.0,0.0
3,Prepare coffee equipment and scoop grounds,0,7,0.0,0.0,0.0
4,Transfer coffee grounds to dripper,0,7,0.0,0.0,0.0
5,Secure coffee container,0,12,0.0,0.0,0.0
6,Handle gooseneck kettle,0,57,0.0,0.0,0.0
7,Lift gooseneck kettle,0,27,0.0,0.0,0.0
8,Set down kettle and retrieve white bottle,0,69,0.0,0.0,0.0
9,Pour and close white bottle,57,121,0.09917355371900827,0.21052631578947367,0.1348314606741573
10,Move bottle to coffee equipment,7,1,0.0,0.0,0.0
11,Prepare for pouring,119,3,1.0,0.025210084033613446,0.049180327868852465
12,Pour coffee,151,6,0.8333333333333334,0.033112582781456956,0.06369426751592357
13,Pour milk into coffee,10,1,0.0,0.0,0.0
