class_id,class_name,support,predicted,precision,recall,f1
0,Pick up and position kettle,38,37,1.0,0.9736842105263158,0.9866666666666666
1,Position kettle to pour,2,2,1.0,1.0,1.0
2,Move kettle,10,9,1.0,0.9,0.9473684210526316
3,Prepare coffee equipment and scoop grounds,28,29,0.9655172413793104,1.0,0.9824561403508771
4,Transfer coffee grounds to dripper,20,19,1.0,0.95,0.9743589743589743
5,Secure coffee container,2,2,1.0,1.0,1.0
6,Handle gooseneck kettle,42,41,1.0,0.9761904761904762,0.9879518072289156
7,Lift gooseneck kettle,28,29,0.9655172413793104,1.0,0.9824561403508771
8,Set down kettle and retrieve white bottle,20,21,0.9523809523809523,1.0,0.975609756097561
9,Pour and close white bottle,28,27,1.0,0.9642857142857143,0.9818181818181818
10,Move bottle to coffee equipment,2,5,0.4,1.0,0.5714285714285715
11,Prepare for pouring,30,29,0.9655172413793104,0.9333333333333333,0.9491525423728815
12,Pour coffee,38,38,1.0,1.0,1.0
13,Pour milk into coffee,2,2,1.0,1.0,1.0
